_id,VGNKennung,VAGKennung,Haltepunkt,GlobalID,Haltestellenname,latitude,longitude,Betriebszweig,Dataprovider
1470,1748,TRA-E,TRA-E:1,de:09564:1748:0:1,Trafowerk - Gelände,"49,422767","11,079283",Bus,VAN
1471,1750,HARNIS,HARNIS:1,de:09564:1750:0:1,Harnischschlag,"49,403492","11,1165314",Bus,VAN
1472,1750,HARNIS,HARNIS:2,de:09564:1750:0:2,Harnischschlag,"49,403292","11,116066",Bus,VAN
1473,1750,HARNIS,HARNIS:3,de:09564:1750:0:3,Harnischschlag,"49,4057961","11,1142063",Bus,VAN
1474,1750,HARNIS,HARNIS:4,de:09564:1750:0:4,Harnischschlag,"49,404644","11,1149168",Bus,VAN
1475,1751,KORN-S,KORN-S:1,de:09564:1751:0:1,Kornburger Straße,"49,405194","11,111565",Bus,VAN
1476,1751,KORN-S,KORN-S:2,de:09564:1751:0:2,Kornburger Straße,"49,4044571","11,1126261",Bus,VAN
1477,1752,SCHWAN,SCHWAN:1,de:09564:1752:0:1,Schwander Straße,"49,4068069","11,1091814",Bus,VAN
1478,1752,SCHWAN,SCHWAN:2,de:09564:1752:0:2,Schwander Straße,"49,4070663","11,1090851",Bus,VAN
1479,1753,HERDOS,HERDOS:1,de:09564:1753:0:1,Herpersdorfer Straße,"49,4297104","11,0527153",Bus,VAN
1480,1753,HERDOS,HERDOS:2,de:09564:1753:0:2,Herpersdorfer Straße,"49,4079475","11,0999651",Bus,VAN
1481,1754,GERMER,GERMER:1,de:09564:1754:0:Bus 1,Germersheimer Str.,"49,404149","11,10082",Bus,VAN
1482,1755,FALK-H,FALK-H:1,de:09564:1755:0:1,Falkenheim,"49,3995056","11,0860586",Bus,VAN
1483,1755,FALK-H,FALK-H:2,de:09564:1755:0:2,Falkenheim,"49,4000053","11,0863867",Bus,VAN
1484,1755,FALK-H,FALK-H:41,de:09564:1755:0:41,Falkenheim,"49,399363","11,086552",Bus,VAN
1485,1756,SAAR,SAAR:11,de:09564:1756:12:11,Saarbrückener Str.,"49,4059334","11,0877237",Tram,VAN
1486,1756,SAAR,SAAR:12,de:09564:1756:12:12,Saarbrückener Str.,"49,405791","11,088073",Tram,VAN
1487,1756,SAAR,SAAR:1,de:09564:1756:13:1,Saarbrückener Str.,"49,406384","11,086747",Bus,VAN
1488,1756,SAAR,SAAR:2,de:09564:1756:13:2,Saarbrückener Str.,"49,406207","11,087532",Bus,VAN
1489,1756,SAAR,SAAR:3,de:09564:1756:13:3,Saarbrückener Str.,"49,405645","11,08719",Bus,VAN
1490,1756,SAAR,SAAR:4,de:09564:1756:13:4,Saarbrückener Str.,"49,405555","11,087284",Bus,VAN
1491,1756,SAAR,SAAR:41,de:09564:1756:13:41,Saarbrückener Str.,"49,405528","11,087145",Bus,VAN
1492,1756,SAAR,SAAR:42,de:09564:1756:13:42,Saarbrückener Str.,"49,4054","11,087261",Bus,VAN
1493,1757,SUEDFR,SUEDFR:11,de:09564:1757:12:11,Südfriedhof,"49,4107895","11,0828362",Tram,VAN
1494,1757,SUEDFR,SUEDFR:12,de:09564:1757:12:12,Südfriedhof,"49,410759","11,0827875",Tram,VAN
1495,1757,SUEDFR,SUEDFR:1,de:09564:1757:13:1,Südfriedhof,"49,410244","11,0830002",Bus,VAN
1496,1757,SUEDFR,SUEDFR:2,de:09564:1757:13:2,Südfriedhof,"49,4109497","11,0829773",Bus,VAN
1497,1758,FINK,FINK:11,de:09564:1758:12:11,Finkenbrunn,"49,414241","11,079636",Tram,VAN
1498,1758,FINK,FINK:12,de:09564:1758:12:12,Finkenbrunn,"49,414236","11,079508",Tram,VAN
1499,1758,FINK,FINK:1,de:09564:1758:13:1,Finkenbrunn,"49,414223","11,079389",Bus,VAN
1500,1758,FINK,FINK:2,de:09564:1758:13:2,Finkenbrunn,"49,415424","11,079879",Bus,VAN
1501,1758,FINK,FINK:3,de:09564:1758:13:3,Finkenbrunn,"49,415222","11,078864",Bus,VAN
1502,1758,FINK,FINK:4,de:09564:1758:13:4,Finkenbrunn,"49,414311","11,078673",Bus,VAN
1503,1758,FINK,FINK:5,de:09564:1758:13:5,Finkenbrunn,"49,414001","11,078819",Bus,VAN
1504,1758,FINK,FINK:6,de:09564:1758:13:6,Finkenbrunn,"49,412741","11,077495",Bus,VAN
1505,1758,FINK,FINK:7,de:09564:1758:13:7,Finkenbrunn,"49,412812","11,077966",Bus,VAN
1506,1759,AM-KAN,AM-KAN:1,de:09564:1759:0:1,Am Ludwigskanal,"49,4118919","11,075696",Bus,VAN
1507,1759,AM-KAN,AM-KAN:2,de:09564:1759:0:2,Am Ludwigskanal,"49,4119949","11,0765915",Bus,VAN
1508,1760,ROTTER,ROTTER:1,de:09564:1760:0:1,Rotterdamer Straße,"49,4060593","11,0664625",Bus,VAN
1509,1760,ROTTER,ROTTER:2,de:09564:1760:0:2,Rotterdamer Straße,"49,4059296","11,0672293",Bus,VAN
1510,1760,ROTTER,ROTTER:3,de:09564:1760:0:3,Rotterdamer Straße,"49,406572","11,06672",Bus,VAN
1511,1761,BREMER,BREMER:1,de:09564:1761:0:1,Bremer Straße,"49,4058914","11,0625134",Bus,VAN
1512,1761,BREMER,BREMER:2,de:09564:1761:0:2,Bremer Straße,"49,4055786","11,0629501",Bus,VAN
1513,1761,BREMER,BREMER:3,de:09564:1761:0:3,Bremer Straße,"49,405229","11,062582",Bus,VAN
1514,1762,LECHST,LECHST:1,de:09564:1762:0:1,Lechstraße,"49,4064331","11,0580168",Bus,VAN
1515,1762,LECHST,LECHST:2,de:09564:1762:0:2,Lechstraße,"49,4061127","11,0584497",Bus,VAN
1516,1762,LECHST,LECHST:3,de:09564:1762:0:3,Lechstraße,"49,4065475","11,0584707",Bus,VAN
1517,1763,HAMBUR,HAMBUR:1,de:09564:1763:0:1,Hamburger Straße,"49,4070168","11,053483",Bus,VAN
1518,1763,HAMBUR,HAMBUR:2,de:09564:1763:0:2,Hamburger Straße,"49,4065819","11,0542164",Bus,VAN
1519,1763,HAMBUR,HAMBUR:3,de:09564:1763:0:3,Hamburger Straße,"49,4061661","11,0537167",Bus,VAN
1520,1763,HAMBUR,HAMBUR:4,de:09564:1763:0:4,Hamburger Straße,"49,4062538","11,0539503",Bus,VAN
1521,1764,AM-RAN,AM-RAN:11,de:09564:1764:12:11,Am Rangierbahnhof,"49,420238","11,08347",Tram,VAN
1522,1764,AM-RAN,AM-RAN:12,de:09564:1764:12:12,Am Rangierbahnhof,"49,42017","11,08323",Tram,VAN
1523,1764,AM-RAN,AM-RAN:1,de:09564:1764:13:1,Am Rangierbahnhof,"49,419651","11,0825415",Bus,VAN
1524,1764,AM-RAN,AM-RAN:2,de:09564:1764:13:2,Am Rangierbahnhof,"49,419821","11,083121",Bus,VAN
1525,1765,TRA,TRA:11,de:09564:1765:12:11,Trafowerk,"49,423796","11,085324",Tram,VAN
1526,1765,TRA,TRA:12,de:09564:1765:12:12,Trafowerk,"49,423656","11,085247",Tram,VAN
1527,1765,TRA,TRA:1,de:09564:1765:13:1,Trafowerk,"49,423022","11,084937",Bus,VAN
1528,1765,TRA,TRA:2,de:09564:1765:13:2,Trafowerk,"49,42363","11,085518",Bus,VAN
1529,1766,MINERV,MINERV:1,de:09564:1766:0:1,Minervaplatz,"49,418749","11,072867",Bus,VAN
1530,1766,MINERV,MINERV:2,de:09564:1766:0:2,Minervaplatz,"49,419333","11,071707",Bus,VAN
1531,1767,BREM-W,BREM-W:1,de:09564:1767:0:1,Bremer Str. Wende,"49,39402","11,05998",Bus,VAN
1532,1768,HEISTE,HEISTE:1,de:09564:1768:0:1,Heistersteg,"49,4244461","11,0632935",Bus,VAN
1533,1768,HEISTE,HEISTE:2,de:09564:1768:0:2,Heistersteg,"49,424511","11,0636778",Bus,VAN
1534,1769,SPORTS,SPORTS:1,de:09564:1769:0:1,Sportplatz Süd,"49,4206467","11,0611362",Bus,VAN
1535,1769,SPORTS,SPORTS:2,de:09564:1769:0:2,Sportplatz Süd,"49,4206696","11,0613956",Bus,VAN
1536,1770,A-D-MA,A-D-MA:1,de:09564:1770:0:1,An der Marterlach,"49,4189491","11,0584164",Bus,VAN
1537,1771,ALPENR,ALPENR:1,de:09564:1771:0:1,Alpenrosenweg,"49,4163322","11,0595999",Bus,VAN
1538,1772,WACH,WACH:1,de:09564:1772:13:1,Wacholderweg,"49,4166832","11,0621023",Bus,VAN
1539,1773,AKELEI,AKELEI:1,de:09564:1773:0:1,Akeleiweg,"49,4190979","11,0615301",Bus,VAN
1540,1774,O-MILL,O-MILL:1,de:09564:1774:0:1,Oskar-v.-Miller-Str.,"49,4274368","11,1037827",Bus,VAN
1541,1774,O-MILL,O-MILL:2,de:09564:1774:0:2,Oskar-v.-Miller-Str.,"49,4276237","11,1041956",Bus,VAN
1542,1775,DUISBO,DUISBO:1,de:09564:1775:0:1,Duisburger Str. Ost,"49,40382","11,0530262",Bus,VAN
1543,1775,DUISBO,DUISBO:2,de:09564:1775:0:2,Duisburger Str. Ost,"49,4036713","11,0529947",Bus,VAN
1544,1776,DUISBN,DUISBN:1,de:09564:1776:0:1,Duisburger Str. Nord,"49,403801","11,048315",Bus,VAN
1545,1776,DUISBN,DUISBN:2,de:09564:1776:0:2,Duisburger Str. Nord,"49,4038162","11,0485592",Bus,VAN
1546,1777,MUELHE,MUELHE:1,de:09564:1777:0:1,Mülheimer Straße,"49,40006","11,05247",Bus,VAN
1547,1777,MUELHE,MUELHE:2,de:09564:1777:0:2,Mülheimer Straße,"49,40096","11,05292",Bus,VAN
1548,1778,DUISBM,DUISBM:1,de:09564:1778:0:1,Duisburger Str.Mitte,"49,3978882","11,0474529",Bus,VAN
1549,1778,DUISBM,DUISBM:2,de:09564:1778:0:2,Duisburger Str.Mitte,"49,3977547","11,0476494",Bus,VAN
1550,1779,HAFENB,HAFENB:1,de:09564:1779:0:1,Hafenbahnhof,"49,3960075","11,0468531",Bus,VAN
1551,1779,HAFENB,HAFENB:2,de:09564:1779:0:2,Hafenbahnhof,"49,396389","11,0472097",Bus,VAN
1552,1781,KOBLEN,KOBLEN:1,de:09564:1781:0:1,Koblenzer Straße,"49,39038","11,04958",Bus,VAN
1553,1781,KOBLEN,KOBLEN:2,de:09564:1781:0:2,Koblenzer Straße,"49,39119","11,05002",Bus,VAN
1554,1783,PRESSB,PRESSB:1,de:09564:1783:0:1,Preßburger Straße,"49,3865547","11,0558653",Bus,VAN
1555,1783,PRESSB,PRESSB:2,de:09564:1783:0:2,Preßburger Straße,"49,3868866","11,0553913",Bus,VAN
1556,1783,PRESSB,PRESSB:3,de:09564:1783:0:3,Preßburger Straße,"49,3865547","11,0558653",Bus,VAN
1557,1783,PRESSB,PRESSB:4,de:09564:1783:0:4,Preßburger Straße,"49,3865547","11,0558653",Bus,VAN
1558,1786,ZOLLAM,ZOLLAM:1,de:09564:1786:0:1,Zollamt - Hafen,"49,3981","11,05186",Bus,VAN
1559,1786,ZOLLAM,ZOLLAM:2,de:09564:1786:0:2,Zollamt - Hafen,"49,398451","11,052177",Bus,VAN
1560,1787,RHEINS,RHEINS:1,de:09564:1787:0:1,Rheinstraße,"49,41224","11,06059",Bus,VAN
1561,1787,RHEINS,RHEINS:2,de:09564:1787:0:2,Rheinstraße,"49,41203","11,06023",Bus,VAN
1562,1788,BOCHUM,BOCHUM:1,de:09564:1788:0:1,Bochumer Straße,"49,39465","11,05089",Bus,VAN
1563,1788,BOCHUM,BOCHUM:2,de:09564:1788:0:2,Bochumer Straße,"49,39488","11,05117",Bus,VAN
1564,1789,DONAUS,DONAUS:1,de:09564:1789:0:1,Donaustraße,"49,41082","11,05485",Bus,VAN
1565,1789,DONAUS,DONAUS:2,de:09564:1789:0:2,Donaustraße,"49,41088","11,05538",Bus,VAN
1566,1790,MAI-AC,MAI-AC:1,de:09564:1790:0:1,Maiach,"49,41018","11,06501",Bus,VAN
1567,1790,MAI-AC,MAI-AC:2,de:09564:1790:0:2,Maiach,"49,40971","11,06511",Bus,VAN
1568,1790,MAI-AC,MAI-AC:3,de:09564:1790:0:3,Maiach,"49,410771","11,064401",Bus,VAN
1569,1791,LINZER,LINZER:1,de:09564:1791:0:1,Linzer Straße,"49,3860054","11,0626717",Bus,VAN
1570,1791,LINZER,LINZER:2,de:09564:1791:0:2,Linzer Straße,"49,386178","11,062201",Bus,VAN
1571,1792,DUISBU,DUISBU:1,de:09564:1792:0:1,Duisburger Straße,"49,40334","11,05344",Bus,VAN
1572,1792,DUISBU,DUISBU:2,de:09564:1792:0:2,Duisburger Straße,"49,40363","11,05367",Bus,VAN
1573,1793,TRIESN,TRIESN:1,de:09564:1793:0:1,Triester Straße Nord,"49,4024","11,05764",Bus,VAN
1574,1793,TRIESN,TRIESN:2,de:09564:1793:0:2,Triester Straße Nord,"49,40252","11,05781",Bus,VAN
1575,1793,TRIESN,TRIESN3,de:09564:1793:0:41,Triester Straße Nord,"49,402322","11,057667",Bus,VAN
1576,1794,TRIESS,TRIESS:1,de:09564:1794:0:1,Triester Straße Süd,"49,39738","11,05969",Bus,VAN
1577,1794,TRIESS,TRIESS:2,de:09564:1794:0:2,Triester Straße Süd,"49,39774","11,06034",Bus,VAN
1578,1795,WERTAC,WERTAC:1,de:09564:1795:0:1,Wertachstraße,"49,40963","11,05026",Bus,VAN
1579,1795,WERTAC,WERTAC:2,de:09564:1795:0:2,Wertachstraße,"49,4097","11,05008",Bus,VAN
1580,1796,KOPER,KOPER:1,de:09564:1796:0:1,Koperstraße,"49,40248","11,06209",Bus,VAN
